ENSMUST00000193198	ENSMUSG00000102628	Gm37671
ENSMUST00000148321	ENSMUSG00000002107	Celf2
ENSMUST00000138347	ENSMUSG00000002107	Celf2
ENSMUST00000137733	ENSMUSG00000002107	Celf2
ENSMUST00000182560	ENSMUSG00000002107	Celf2
ENSMUST00000126742	ENSMUSG00000002107	Celf2
ENSMUST00000123142	ENSMUSG00000002107	Celf2
ENSMUST00000182523	ENSMUSG00000002107	Celf2
ENSMUST00000114923	ENSMUSG00000002107	Celf2
ENSMUST00000182657	ENSMUSG00000002107	Celf2
ENSMUST00000182749	ENSMUSG00000002107	Celf2
ENSMUST00000182037	ENSMUSG00000002107	Celf2
ENSMUST00000170438	ENSMUSG00000002107	Celf2
ENSMUST00000114924	ENSMUSG00000002107	Celf2
ENSMUST00000100429	ENSMUSG00000002107	Celf2
ENSMUST00000102710	ENSMUSG00000027048	Abcb11
ENSMUST00000102709	ENSMUSG00000027048	Abcb11
ENSMUST00000133663	ENSMUSG00000027048	Abcb11
ENSMUST00000180142	ENSMUSG00000027048	Abcb11
ENSMUST00000142774	ENSMUSG00000087079	Gm13389
ENSMUST00000100426	ENSMUSG00000075538	Gm10855
ENSMUST00000193124	ENSMUSG00000103412	Gm37340
ENSMUST00000126240	ENSMUSG00000086819	Gm13613
ENSMUST00000076071	ENSMUSG00000062319	Gm10115
ENSMUST00000117306	ENSMUSG00000083592	Gm13614
ENSMUST00020182744	ENSMUSG00002075987	7SK
ENSMUST00000104208	ENSMUSG00000077396	Gm24340
ENSMUST00000187783	ENSMUSG00000099424	Gm28641
ENSMUST00000121483	ENSMUSG00000083252	Gm13210
ENSMUST00000141649	ENSMUSG00000085070	Gm13211
ENSMUST00000118295	ENSMUSG00000083269	Gm13254
ENSMUST00020181912	ENSMUSG00002075086	7SK
ENSMUST00000063690	ENSMUSG00000027068	Dhrs9
ENSMUST00000117255	ENSMUSG00000084374	Gm13255
ENSMUST00000120466	ENSMUSG00000082953	Gm13217
ENSMUST00000132414	ENSMUSG00000085580	1700061F12Rik
ENSMUST00020182773	ENSMUSG00002076673	ENSMUSG00002076673
ENSMUST00000121712	ENSMUSG00000083423	Gm13221
ENSMUST00000028983	ENSMUSG00000027481	Bpifb2
ENSMUST00000129776	ENSMUSG00000027481	Bpifb2
ENSMUST00000152599	ENSMUSG00000079604	Gm13219
ENSMUST00000144870	ENSMUSG00000079604	Gm13219
ENSMUST00000154223	ENSMUSG00000079604	Gm13219
ENSMUST00000121535	ENSMUSG00000081202	Gm13220
ENSMUST00000128180	ENSMUSG00000079603	Dreg1
ENSMUST00000191950	ENSMUSG00000104276	Gm37866
ENSMUST00000102976	ENSMUSG00000015619	Gata3
ENSMUST00000151456	ENSMUSG00000015619	Gata3
ENSMUST00000153509	ENSMUSG00000015619	Gata3
ENSMUST00000130615	ENSMUSG00000015619	Gata3
ENSMUST00000147533	ENSMUSG00000015619	Gata3
ENSMUST00000142305	ENSMUSG00000015619	Gata3
ENSMUST00000088955	ENSMUSG00000068009	Bpifb6
ENSMUST00000135501	ENSMUSG00000068009	Bpifb6
ENSMUST00000131297	ENSMUSG00000086618	Gm13256
ENSMUST00000026889	ENSMUSG00000025783	4930412O13Rik
ENSMUST00000114919	ENSMUSG00000025783	4930412O13Rik
ENSMUST00000114915	ENSMUSG00000079602	9230102O04Rik
ENSMUST00000125091	ENSMUSG00000079602	9230102O04Rik
ENSMUST00000149014	ENSMUSG00000075534	Gm13262
ENSMUST00000088950	ENSMUSG00000068008	Bpifb3
ENSMUST00000109760	ENSMUSG00000068008	Bpifb3
ENSMUST00000114909	ENSMUSG00000025782	Taf3
ENSMUST00000129720	ENSMUSG00000025782	Taf3
ENSMUST00000026888	ENSMUSG00000025782	Taf3
ENSMUST00000114906	ENSMUSG00000025782	Taf3
ENSMUST00000114907	ENSMUSG00000025782	Taf3
ENSMUST00000194765	ENSMUSG00000103570	C630004M23Rik
ENSMUST00000109757	ENSMUSG00000074665	Bpifb4
ENSMUST00000154281	ENSMUSG00000074665	Bpifb4
ENSMUST00000099181	ENSMUSG00000074665	Bpifb4
ENSMUST00000109759	ENSMUSG00000074665	Bpifb4
ENSMUST00000109753	ENSMUSG00000078998	Bpifa6
ENSMUST00000080953	ENSMUSG00000027070	Lrp2
ENSMUST00000100051	ENSMUSG00000027070	Lrp2
ENSMUST00000092551	ENSMUSG00000027070	Lrp2
ENSMUST00000128742	ENSMUSG00000027070	Lrp2
ENSMUST00000048103	ENSMUSG00000042459	Bpifa2
ENSMUST00000145388	ENSMUSG00000042459	Bpifa2
ENSMUST00000136467	ENSMUSG00000042459	Bpifa2
ENSMUST00000132933	ENSMUSG00000042459	Bpifa2
ENSMUST00000238877	ENSMUSG00000118490	Gm52978
ENSMUST00000179792	ENSMUSG00000096084	Gm21850
ENSMUST00000119537	ENSMUSG00000081013	Gm14497
ENSMUST00000137942	ENSMUSG00000002100	Mybpc3
ENSMUST00000111430	ENSMUSG00000002100	Mybpc3
ENSMUST00000169776	ENSMUSG00000002100	Mybpc3
ENSMUST00000028984	ENSMUSG00000027482	Bpifa3
ENSMUST00000109746	ENSMUSG00000027482	Bpifa3
ENSMUST00000125753	ENSMUSG00000027482	Bpifa3
ENSMUST00000028985	ENSMUSG00000027483	Bpifa1
ENSMUST00000144665	ENSMUSG00000027483	Bpifa1
ENSMUST00000140006	ENSMUSG00000027483	Bpifa1
ENSMUST00000114896	ENSMUSG00000025781	Atp5c1
ENSMUST00000026887	ENSMUSG00000025781	Atp5c1
ENSMUST00000114897	ENSMUSG00000025781	Atp5c1
ENSMUST00000139810	ENSMUSG00000025781	Atp5c1
ENSMUST00000145530	ENSMUSG00000025781	Atp5c1
ENSMUST00000130067	ENSMUSG00000025781	Atp5c1
ENSMUST00000153554	ENSMUSG00000025781	Atp5c1
ENSMUST00000104545	ENSMUSG00000077733	Gm23608
ENSMUST00000028986	ENSMUSG00000027484	Bpifa5
ENSMUST00000042512	ENSMUSG00000037262	Kin
ENSMUST00000142599	ENSMUSG00000037262	Kin
ENSMUST00000142773	ENSMUSG00000037262	Kin
ENSMUST00000074963	ENSMUSG00000063145	Bbs5
ENSMUST00000134659	ENSMUSG00000063145	Bbs5
ENSMUST00000112286	ENSMUSG00000063145	Bbs5
ENSMUST00000149276	ENSMUSG00000063145	Bbs5
ENSMUST00000144240	ENSMUSG00000063145	Bbs5
ENSMUST00000130061	ENSMUSG00000063145	Bbs5
ENSMUST00000143165	ENSMUSG00000063145	Bbs5
ENSMUST00000127806	ENSMUSG00000063145	Bbs5
ENSMUST00000100050	ENSMUSG00000075307	Klhl41
ENSMUST00000081816	ENSMUSG00000027485	Bpifb1
ENSMUST00000123017	ENSMUSG00000027485	Bpifb1
ENSMUST00000028987	ENSMUSG00000027485	Bpifb1
ENSMUST00000045959	ENSMUSG00000038572	Bpifb5
ENSMUST00000161909	ENSMUSG00000037254	Itih2
ENSMUST00000042290	ENSMUSG00000037254	Itih2
ENSMUST00000155809	ENSMUSG00000037254	Itih2
ENSMUST00000095087	ENSMUSG00000039844	Rapgef1
ENSMUST00000091146	ENSMUSG00000039844	Rapgef1
ENSMUST00000102872	ENSMUSG00000039844	Rapgef1
ENSMUST00000147755	ENSMUSG00000039844	Rapgef1
ENSMUST00000238899	ENSMUSG00000039844	Rapgef1
ENSMUST00000147488	ENSMUSG00000039844	Rapgef1
ENSMUST00000137719	ENSMUSG00000039844	Rapgef1
ENSMUST00000123953	ENSMUSG00000039844	Rapgef1
ENSMUST00000026886	ENSMUSG00000025780	Itih5
ENSMUST00000073152	ENSMUSG00000027086	Fastkd1
ENSMUST00000102706	ENSMUSG00000027086	Fastkd1
ENSMUST00000140776	ENSMUSG00000027086	Fastkd1
ENSMUST00000129260	ENSMUSG00000027086	Fastkd1
ENSMUST00000137351	ENSMUSG00000086748	Gm13261
ENSMUST00000147299	ENSMUSG00000067998	Bpifb9a
ENSMUST00000088924	ENSMUSG00000067998	Bpifb9a
ENSMUST00000126084	ENSMUSG00000067998	Bpifb9a
ENSMUST00000117480	ENSMUSG00000083732	Gm14197
ENSMUST00000051212	ENSMUSG00000048316	Gm9823
ENSMUST00000129574	ENSMUSG00000079497	Gm13420
ENSMUST00000088921	ENSMUSG00000067996	Bpifb9b
ENSMUST00000177379	ENSMUSG00000075425	Gm13547
ENSMUST00000113810	ENSMUSG00000075425	Gm13547
ENSMUST00000113809	ENSMUSG00000075425	Gm13547
ENSMUST00000109731	ENSMUSG00000027487	Cdk5rap1
ENSMUST00000148289	ENSMUSG00000027487	Cdk5rap1
ENSMUST00000109730	ENSMUSG00000027487	Cdk5rap1
ENSMUST00000150308	ENSMUSG00000027487	Cdk5rap1
ENSMUST00000137918	ENSMUSG00000027487	Cdk5rap1
ENSMUST00000152180	ENSMUSG00000027487	Cdk5rap1
ENSMUST00000028990	ENSMUSG00000027487	Cdk5rap1
ENSMUST00000109728	ENSMUSG00000027488	Snta1
ENSMUST00000028991	ENSMUSG00000027488	Snta1
ENSMUST00000133018	ENSMUSG00000027488	Snta1
ENSMUST00000113807	ENSMUSG00000039826	Trub2
ENSMUST00000156846	ENSMUSG00000039826	Trub2
ENSMUST00000048044	ENSMUSG00000039826	Trub2
ENSMUST00000176312	ENSMUSG00000039826	Trub2
ENSMUST00000177467	ENSMUSG00000039826	Trub2
ENSMUST00000177133	ENSMUSG00000039826	Trub2
ENSMUST00000176167	ENSMUSG00000039826	Trub2
ENSMUST00000148120	ENSMUSG00000039826	Trub2
ENSMUST00000113803	ENSMUSG00000039826	Trub2
ENSMUST00000175644	ENSMUSG00000039826	Trub2
ENSMUST00000114862	ENSMUSG00000061186	Sfmbt2
ENSMUST00000114861	ENSMUSG00000061186	Sfmbt2
ENSMUST00000126531	ENSMUSG00000061186	Sfmbt2
ENSMUST00000114864	ENSMUSG00000061186	Sfmbt2
ENSMUST00000145398	ENSMUSG00000061186	Sfmbt2
ENSMUST00000041105	ENSMUSG00000061186	Sfmbt2
ENSMUST00000116594	ENSMUSG00000061186	Sfmbt2
ENSMUST00020182148	ENSMUSG00002076942	ENSMUSG00002076942
ENSMUST00020181698	ENSMUSG00002075140	ENSMUSG00002075140
ENSMUST00000175052	ENSMUSG00000092793	Mir466m
ENSMUST00000104779	ENSMUSG00000077972	Mir466f-1
ENSMUST00000103850	ENSMUSG00000077038	Mir669f
ENSMUST00000117003	ENSMUSG00000080653	Mir669e
ENSMUST00000102172	ENSMUSG00000076126	Mir669b
ENSMUST00020183298	ENSMUSG00002075055	ENSMUSG00002075055
ENSMUST00000104644	ENSMUSG00000077834	Mir669d
ENSMUST00000104805	ENSMUSG00000077998	Mir466f-2
ENSMUST00000103771	ENSMUSG00000076959	Mir669l
ENSMUST00000116854	ENSMUSG00000080504	Mir669d-2
ENSMUST00000104788	ENSMUSG00000077981	Mir466f-3
ENSMUST00000103795	ENSMUSG00000076983	Mir297a-2
ENSMUST00000104832	ENSMUSG00000078026	Mir466o
ENSMUST00020183748	ENSMUSG00002075960	ENSMUSG00002075960
ENSMUST00000153772	ENSMUSG00000042133	Ppig
ENSMUST00000090858	ENSMUSG00000042133	Ppig
ENSMUST00000124810	ENSMUSG00000042133	Ppig
ENSMUST00000125105	ENSMUSG00000042133	Ppig
ENSMUST00000040915	ENSMUSG00000042133	Ppig
ENSMUST00000146234	ENSMUSG00000042133	Ppig
ENSMUST00000144652	ENSMUSG00000042133	Ppig
ENSMUST00000134424	ENSMUSG00000042133	Ppig
ENSMUST00000142839	ENSMUSG00000042133	Ppig
ENSMUST00000134500	ENSMUSG00000042133	Ppig
ENSMUST00000128506	ENSMUSG00000042133	Ppig
ENSMUST00000143954	ENSMUSG00000042133	Ppig
ENSMUST00000103861	ENSMUSG00000077049	Mir467c
ENSMUST00000103778	ENSMUSG00000119771	Mir466b-1
ENSMUST00000102074	ENSMUSG00000076028	Mir669a-3
ENSMUST00000240321	ENSMUSG00000119803	Mir669k
ENSMUST00020182845	ENSMUSG00002075143	ENSMUSG00002075143
ENSMUST00000102207	ENSMUSG00000119247	Mir467a-1
ENSMUST00000103883	ENSMUSG00000095269	Mir466b-8
ENSMUST00000240214	ENSMUSG00000119292	Mir669a-1
ENSMUST00000116809	ENSMUSG00000080459	Mir669g
ENSMUST00000120658	ENSMUSG00000082345	Gm13622
ENSMUST00020183400	ENSMUSG00002076944	ENSMUSG00002076944
ENSMUST00000239649	ENSMUSG00000119793	Mir669j
ENSMUST00000239933	ENSMUSG00000119385	Mir467a-2
ENSMUST00000198862	ENSMUSG00000119608	Mir466e
ENSMUST00000239859	ENSMUSG00000119626	Mir669a-4
ENSMUST00020182166	ENSMUSG00002075541	ENSMUSG00002075541
ENSMUST00020181764	ENSMUSG00002076617	ENSMUSG00002076617
ENSMUST00000143616	ENSMUSG00000026798	Coq4
ENSMUST00000176348	ENSMUSG00000026798	Coq4
ENSMUST00000028137	ENSMUSG00000026798	Coq4
ENSMUST00000148791	ENSMUSG00000026798	Coq4
ENSMUST00000142694	ENSMUSG00000026798	Coq4
ENSMUST00000138233	ENSMUSG00000026798	Coq4
ENSMUST00000102089	ENSMUSG00000119508	Mir467b
ENSMUST00000200654	ENSMUSG00000119566	Mir466c-1
ENSMUST00000239940	ENSMUSG00000119137	Mir669a-5
ENSMUST00020183131	ENSMUSG00002076075	ENSMUSG00002076075
ENSMUST00020182517	ENSMUSG00002076869	ENSMUSG00002076869
ENSMUST00000240232	ENSMUSG00000119931	Mir467a-3
ENSMUST00000239816	ENSMUSG00000118762	Mir466c-2
ENSMUST00000239823	ENSMUSG00000119304	Mir669a-6
ENSMUST00020181834	ENSMUSG00002075738	ENSMUSG00002075738
ENSMUST00020183391	ENSMUSG00002075631	ENSMUSG00002075631
ENSMUST00020182435	ENSMUSG00002076835	ENSMUSG00002076835
ENSMUST00000094942	ENSMUSG00000070883	Ccdc173
ENSMUST00000148190	ENSMUSG00000070883	Ccdc173
ENSMUST00000240134	ENSMUSG00000119498	Mir467a-4
ENSMUST00000240239	ENSMUSG00000119042	Mir466b-4
ENSMUST00000118359	ENSMUSG00000083007	Gm13623
ENSMUST00000239539	ENSMUSG00000119125	Mir669a-7
ENSMUST00020182840	ENSMUSG00002076388	ENSMUSG00002076388
ENSMUST00020182061	ENSMUSG00002076577	ENSMUSG00002076577
ENSMUST00020181894	ENSMUSG00002075668	ENSMUSG00002075668
ENSMUST00000239893	ENSMUSG00000119161	Mir467a-5
ENSMUST00000103900	ENSMUSG00000119006	Mir466b-5
ENSMUST00000103868	ENSMUSG00000119450	Mir669p-1
ENSMUST00020182869	ENSMUSG00002075878	ENSMUSG00002075878
ENSMUST00020183015	ENSMUSG00002076296	ENSMUSG00002076296
ENSMUST00020182128	ENSMUSG00002076887	ENSMUSG00002076887
ENSMUST00001239502	ENSMUSG00000118909	Mir467a-6
ENSMUST00000240458	ENSMUSG00000119785	Mir466c-3
ENSMUST00000240373	ENSMUSG00000119344	Mir669a-8
ENSMUST00020182518	ENSMUSG00002076422	ENSMUSG00002076422
ENSMUST00020182961	ENSMUSG00002076686	ENSMUSG00002076686
ENSMUST00020183629	ENSMUSG00002076510	ENSMUSG00002076510
ENSMUST00000080065	ENSMUSG00000059316	Slc27a4
ENSMUST00000136444	ENSMUSG00000059316	Slc27a4
ENSMUST00000240383	ENSMUSG00000119559	Mir467a-7
ENSMUST00000239734	ENSMUSG00000119051	Mir466b-6
ENSMUST00000239954	ENSMUSG00000119882	Mir669a-9
ENSMUST00020182765	ENSMUSG00002076753	ENSMUSG00002076753
ENSMUST00020182798	ENSMUSG00002076980	ENSMUSG00002076980
ENSMUST00020182815	ENSMUSG00002076144	ENSMUSG00002076144
ENSMUST00000240259	ENSMUSG00000119434	Mir467a-8
ENSMUST00000103804	ENSMUSG00000119723	Mir466b-7
ENSMUST00000103884	ENSMUSG00000119195	Mir669p-2
ENSMUST00020182847	ENSMUSG00002076560	ENSMUSG00002076560
ENSMUST00020183098	ENSMUSG00002076585	ENSMUSG00002076585
ENSMUST00020183445	ENSMUSG00002075201	ENSMUSG00002075201
ENSMUST00000239822	ENSMUSG00000119554	Mir467a-9
ENSMUST00000177988	ENSMUSG00000118692	Mir466b-2
ENSMUST00000239869	ENSMUSG00000119908	Mir669a-10
ENSMUST00020182745	ENSMUSG00002076172	ENSMUSG00002076172
ENSMUST00020182157	ENSMUSG00002075159	ENSMUSG00002075159
ENSMUST00020183335	ENSMUSG00002075272	ENSMUSG00002075272
ENSMUST00000179923	ENSMUSG00000118833	mmu-mir-467a-2
ENSMUST00020183047	ENSMUSG00002075310	mmu-mir-466b-1
ENSMUST00000240046	ENSMUSG00000119044	Mir669a-11
ENSMUST00020182807	ENSMUSG00002076127	ENSMUSG00002076127
ENSMUST00020182235	ENSMUSG00002076667	ENSMUSG00002076667
ENSMUST00020182904	ENSMUSG00002076849	ENSMUSG00002076849
ENSMUST00000151298	ENSMUSG00000027088	Phospho2
ENSMUST00000028494	ENSMUSG00000027088	Phospho2
ENSMUST00000112266	ENSMUSG00000027088	Phospho2
ENSMUST00000131100	ENSMUSG00000027088	Phospho2
ENSMUST00000128765	ENSMUSG00000027088	Phospho2
ENSMUST00000180290	ENSMUSG00000027088	Phospho2
ENSMUST00000240487	ENSMUSG00000118710	Mir467a-10
ENSMUST00000103806	ENSMUSG00000076994	Mir466b-3
ENSMUST00000198665	ENSMUSG00000119447	Mir669a-12
ENSMUST00000120263	ENSMUSG00000081857	Gm13624
ENSMUST00020183302	ENSMUSG00002076956	ENSMUSG00002076956
ENSMUST00000103760	ENSMUSG00000076948	Mir467e
ENSMUST00000149379	ENSMUSG00000069020	Urm1
ENSMUST00000156944	ENSMUSG00000069020	Urm1
ENSMUST00000091142	ENSMUSG00000069020	Urm1
ENSMUST00000147325	ENSMUSG00000069020	Urm1
ENSMUST00000130542	ENSMUSG00000069020	Urm1
ENSMUST00000123021	ENSMUSG00000069020	Urm1
ENSMUST00000103925	ENSMUSG00000077113	Mir466p
ENSMUST00020183794	ENSMUSG00002075178	ENSMUSG00002075178
ENSMUST00000083551	ENSMUSG00000065485	Mir219a-2
ENSMUST00000198317	ENSMUSG00000105010	Mir219b
ENSMUST00020182755	ENSMUSG00002075323	ENSMUSG00002075323
ENSMUST00000103833	ENSMUSG00000077021	Mir467d
ENSMUST00000047607	ENSMUSG00000039798	2600006K01Rik
ENSMUST00000093591	ENSMUSG00000070099	Mir466
ENSMUST00020182046	ENSMUSG00002076337	ENSMUSG00002076337
ENSMUST00000103788	ENSMUSG00000076976	Mir297c
ENSMUST00000084675	ENSMUSG00000076118	Mir669c
ENSMUST00020182203	ENSMUSG00002076099	ENSMUSG00002076099
ENSMUST00000109725	ENSMUSG00000038533	Cbfa2t2
ENSMUST00000099178	ENSMUSG00000038533	Cbfa2t2
ENSMUST00000045270	ENSMUSG00000038533	Cbfa2t2
ENSMUST00000109724	ENSMUSG00000038533	Cbfa2t2
ENSMUST00000155202	ENSMUSG00000038533	Cbfa2t2
ENSMUST00000137526	ENSMUSG00000038533	Cbfa2t2
ENSMUST00000135647	ENSMUSG00000038533	Cbfa2t2
ENSMUST00000154487	ENSMUSG00000038533	Cbfa2t2
ENSMUST00000139506	ENSMUSG00000038533	Cbfa2t2
ENSMUST00020183560	ENSMUSG00002076917	ENSMUSG00002076917
ENSMUST00000135759	ENSMUSG00000042155	Klhl23
ENSMUST00000053087	ENSMUSG00000042155	Klhl23
ENSMUST00000152898	ENSMUSG00000042155	Klhl23
ENSMUST00000102060	ENSMUSG00000076014	Mir669a-2
ENSMUST00020182581	ENSMUSG00002075031	ENSMUSG00002075031
ENSMUST00020182585	ENSMUSG00002076116	ENSMUSG00002076116
ENSMUST00020182490	ENSMUSG00002076473	ENSMUSG00002076473
ENSMUST00000102268	ENSMUSG00000076222	Mir297b
ENSMUST00000104837	ENSMUSG00000078031	Mir466d
ENSMUST00020181675	ENSMUSG00002075959	mmu-mir-669a-1
ENSMUST00000158945	ENSMUSG00000089570	Mir669m-1
ENSMUST00000158355	ENSMUSG00000088980	Mir669m-2
ENSMUST00000104798	ENSMUSG00000077991	Mir466n
ENSMUST00000103898	ENSMUSG00000077086	Mir669o
ENSMUST00000104831	ENSMUSG00000078025	Mir466g
ENSMUST00000104748	ENSMUSG00000077941	Mir466h
ENSMUST00000103768	ENSMUSG00000076956	Mir297a-3
ENSMUST00000104866	ENSMUSG00000078060	Mir466l
ENSMUST00000104761	ENSMUSG00000077954	Mir297a-4
ENSMUST00020182724	ENSMUSG00002075177	ENSMUSG00002075177
ENSMUST00000117007	ENSMUSG00000080657	Mir669i
ENSMUST00000116944	ENSMUSG00000080594	Mir669h
ENSMUST00000192439	ENSMUSG00000103237	Gm18547
ENSMUST00000118090	ENSMUSG00000081367	Gm13265
ENSMUST00000121271	ENSMUSG00000082871	Gm13263
ENSMUST00000192542	ENSMUSG00000102734	Gm37343
ENSMUST00000158382	ENSMUSG00000089007	Gm23877
ENSMUST00000138416	ENSMUSG00000085257	Gm13264
ENSMUST00000122611	ENSMUSG00000084560	Gm26478
ENSMUST00000120205	ENSMUSG00000081693	Gm13297
ENSMUST00000154464	ENSMUSG00000039787	Cercam
ENSMUST00000047521	ENSMUSG00000039787	Cercam
ENSMUST00000134152	ENSMUSG00000039787	Cercam
ENSMUST00000153863	ENSMUSG00000039787	Cercam
ENSMUST00000155355	ENSMUSG00000039787	Cercam
ENSMUST00000121757	ENSMUSG00000083900	Gm13294
ENSMUST00000028749	ENSMUSG00000079110	Capn3
ENSMUST00000110721	ENSMUSG00000079110	Capn3
ENSMUST00000239364	ENSMUSG00000079110	Capn3
ENSMUST00000239355	ENSMUSG00000079110	Capn3
ENSMUST00000110716	ENSMUSG00000079110	Capn3
ENSMUST00000028748	ENSMUSG00000079110	Capn3
ENSMUST00000090028	ENSMUSG00000079110	Capn3
ENSMUST00000110719	ENSMUSG00000079110	Capn3
ENSMUST00000151924	ENSMUSG00000079110	Capn3
ENSMUST00000139336	ENSMUSG00000079110	Capn3
ENSMUST00000239291	ENSMUSG00000079110	Capn3
ENSMUST00000125238	ENSMUSG00000079110	Capn3
ENSMUST00000141181	ENSMUSG00000079110	Capn3
ENSMUST00000151342	ENSMUSG00000079110	Capn3
ENSMUST00000109716	ENSMUSG00000027489	Necab3
ENSMUST00000000895	ENSMUSG00000027489	Necab3
ENSMUST00000130824	ENSMUSG00000027489	Necab3
ENSMUST00000125793	ENSMUSG00000027489	Necab3
ENSMUST00000124382	ENSMUSG00000027489	Necab3
ENSMUST00000135530	ENSMUSG00000027489	Necab3
ENSMUST00000149725	ENSMUSG00000027489	Necab3
ENSMUST00000090852	ENSMUSG00000068882	Ssb
ENSMUST00000132186	ENSMUSG00000068882	Ssb
ENSMUST00000112260	ENSMUSG00000068882	Ssb
ENSMUST00000156057	ENSMUSG00000068882	Ssb
ENSMUST00000132603	ENSMUSG00000068882	Ssb
ENSMUST00000166411	ENSMUSG00000068882	Ssb
ENSMUST00000135641	ENSMUSG00000038523	1700003F12Rik
ENSMUST00000045116	ENSMUSG00000038523	1700003F12Rik
ENSMUST00000109709	ENSMUSG00000038523	1700003F12Rik
ENSMUST00000104928	ENSMUSG00000078129	Actl10
ENSMUST00000028118	ENSMUSG00000026778	Prkcq
ENSMUST00000114853	ENSMUSG00000026778	Prkcq
ENSMUST00000195207	ENSMUSG00000026778	Prkcq
ENSMUST00000102970	ENSMUSG00000026778	Prkcq
ENSMUST00000192461	ENSMUSG00000026778	Prkcq
ENSMUST00000195628	ENSMUSG00000026778	Prkcq
ENSMUST00000195226	ENSMUSG00000103774	Gm36932
ENSMUST00000194883	ENSMUSG00000103253	Gm37520
ENSMUST00000192244	ENSMUSG00000102992	Gm37766
ENSMUST00000195716	ENSMUSG00000102196	Gm38171
ENSMUST00000060447	ENSMUSG00000051730	Mettl5
ENSMUST00000142127	ENSMUSG00000051730	Mettl5
ENSMUST00000135459	ENSMUSG00000051730	Mettl5
ENSMUST00000135487	ENSMUSG00000051730	Mettl5
ENSMUST00000193871	ENSMUSG00000102894	Gm37851
ENSMUST00000192626	ENSMUSG00000102674	8030442B05Rik
ENSMUST00000149283	ENSMUSG00000089902	Gm13625
ENSMUST00000129114	ENSMUSG00000085735	Mettl5os
ENSMUST00000131188	ENSMUSG00000086006	Gm13293
ENSMUST00000192432	ENSMUSG00000103223	Gm37730
ENSMUST00000193857	ENSMUSG00000103321	4933403L11Rik
ENSMUST00000143527	ENSMUSG00000086491	Gm13291
ENSMUST00000120014	ENSMUSG00000082424	Gm13292
ENSMUST00000117854	ENSMUSG00000082314	Gm13296
ENSMUST00000103145	ENSMUSG00000027490	E2f1
ENSMUST00000000894	ENSMUSG00000027490	E2f1
ENSMUST00000000896	ENSMUSG00000000876	Pxmp4
ENSMUST00000109703	ENSMUSG00000000876	Pxmp4
ENSMUST00000238256	ENSMUSG00000097602	4930519P11Rik
ENSMUST00000181369	ENSMUSG00000097602	4930519P11Rik
ENSMUST00000081926	ENSMUSG00000059842	Zfp341
ENSMUST00000126421	ENSMUSG00000059842	Zfp341
ENSMUST00000109702	ENSMUSG00000059842	Zfp341
ENSMUST00000153208	ENSMUSG00000085483	Gm14198
ENSMUST00000055241	ENSMUSG00000027288	Zfp106
ENSMUST00000171215	ENSMUSG00000027288	Zfp106
ENSMUST00000130303	ENSMUSG00000027288	Zfp106
ENSMUST00000139942	ENSMUSG00000027288	Zfp106
ENSMUST00000152347	ENSMUSG00000027288	Zfp106
ENSMUST00000141874	ENSMUSG00000027288	Zfp106
ENSMUST00000149210	ENSMUSG00000027288	Zfp106
ENSMUST00000163384	ENSMUSG00000027288	Zfp106
ENSMUST00000135625	ENSMUSG00000027288	Zfp106
ENSMUST00000167241	ENSMUSG00000027288	Zfp106
ENSMUST00000147353	ENSMUSG00000027288	Zfp106
ENSMUST00000151668	ENSMUSG00000038467	Chmp4b
ENSMUST00000044277	ENSMUSG00000038467	Chmp4b
ENSMUST00000136788	ENSMUSG00000038467	Chmp4b
ENSMUST00000119057	ENSMUSG00000082064	Rpl5-ps2
ENSMUST00000120578	ENSMUSG00000083975	Gm14215
ENSMUST00000136046	ENSMUSG00000085691	Gm14216
ENSMUST00000155334	ENSMUSG00000085691	Gm14216
ENSMUST00000055758	ENSMUSG00000044308	Ubr3
ENSMUST00000131553	ENSMUSG00000044308	Ubr3
ENSMUST00000142563	ENSMUSG00000044308	Ubr3
ENSMUST00000152610	ENSMUSG00000044308	Ubr3
ENSMUST00000126165	ENSMUSG00000044308	Ubr3
ENSMUST00000125608	ENSMUSG00000044308	Ubr3
ENSMUST00000150301	ENSMUSG00000044308	Ubr3
ENSMUST00000136543	ENSMUSG00000044308	Ubr3
ENSMUST00000123890	ENSMUSG00000044308	Ubr3
ENSMUST00000112251	ENSMUSG00000044308	Ubr3
ENSMUST00000110711	ENSMUSG00000027287	Snap23
ENSMUST00000028743	ENSMUSG00000027287	Snap23
ENSMUST00000116437	ENSMUSG00000027287	Snap23
ENSMUST00000150611	ENSMUSG00000027287	Snap23
ENSMUST00000147864	ENSMUSG00000027287	Snap23
ENSMUST00000153580	ENSMUSG00000027287	Snap23
ENSMUST00000142278	ENSMUSG00000027287	Snap23
ENSMUST00000137144	ENSMUSG00000027287	Snap23
ENSMUST00000130759	ENSMUSG00000027287	Snap23
ENSMUST00000140978	ENSMUSG00000086132	Gm13631
ENSMUST00000112241	ENSMUSG00000042064	Myo3b
ENSMUST00000112243	ENSMUSG00000042064	Myo3b
ENSMUST00000060208	ENSMUSG00000042064	Myo3b
ENSMUST00000102496	ENSMUSG00000027286	Lrrc57
ENSMUST00000102497	ENSMUSG00000027286	Lrrc57
ENSMUST00000102498	ENSMUSG00000027286	Lrrc57
ENSMUST00000102499	ENSMUSG00000027286	Lrrc57
